clients,time,calls,Algorithm
10,3293,50,Exponential
10,429,37,Decorr
10,713,42,EqualJitter
10,440,38,FullJitter
10,382,51,None
20,14428,150,Exponential
20,795,100,Decorr
20,1613,107,EqualJitter
20,1009,100,FullJitter
20,595,152,None
30,22220,276,Exponential
30,1266,179,Decorr
30,2660,182,EqualJitter
30,1661,171,FullJitter
30,779,289,None
40,29648,436,Exponential
40,1707,274,Decorr
40,3381,263,EqualJitter
40,2348,250,FullJitter
40,955,465,None
50,36870,630,Exponential
50,2249,377,Decorr
50,4229,346,EqualJitter
50,2820,332,FullJitter
50,1138,689,None
60,42726,835,Exponential
60,2693,486,Decorr
60,4796,434,EqualJitter
60,3383,418,FullJitter
60,1319,955,None
70,48682,1063,Exponential
70,3224,606,Decorr
70,5319,525,EqualJitter
70,3874,509,FullJitter
70,1510,1263,None
80,53537,1298,Exponential
80,3729,734,Decorr
80,5829,618,EqualJitter
80,4172,602,FullJitter
80,1675,1607,None
90,58659,1571,Exponential
90,4145,862,Decorr
90,6211,716,EqualJitter
90,4661,698,FullJitter
90,1847,1990,None
100,63167,1845,Exponential
100,4609,999,Decorr
100,6618,811,EqualJitter
100,4947,796,FullJitter
100,2022,2422,None
110,67981,2158,Exponential
110,5025,1152,Decorr
110,7017,911,EqualJitter
110,5147,896,FullJitter
110,2199,2887,None
120,73162,2484,Exponential
120,5272,1293,Decorr
120,7428,1012,EqualJitter
120,5565,998,FullJitter
120,2368,3390,None
130,77039,2815,Exponential
130,5883,1442,Decorr
130,7682,1116,EqualJitter
130,5842,1104,FullJitter
130,2536,3937,None
140,81404,3170,Exponential
140,6164,1604,Decorr
140,7998,1218,EqualJitter
140,6211,1210,FullJitter
140,2716,4523,None
150,85507,3541,Exponential
150,6444,1761,Decorr
150,8350,1325,EqualJitter
150,6499,1317,FullJitter
150,2873,5143,None
160,89462,3917,Exponential
160,6828,1921,Decorr
160,8658,1432,EqualJitter
160,6619,1428,FullJitter
160,3038,5802,None
170,92974,4325,Exponential
170,7291,2088,Decorr
170,8892,1539,EqualJitter
170,6918,1544,FullJitter
170,3211,6497,None
180,97909,4753,Exponential
180,7643,2255,Decorr
180,9072,1649,EqualJitter
180,7044,1652,FullJitter
180,3371,7227,None
190,101519,5184,Exponential
190,8028,2444,Decorr
190,9433,1758,EqualJitter
190,7384,1774,FullJitter
190,3533,8001,None
